Date,close,open,high,low,volume
28-11-2025,59752.7,59758.7,59894.05,59605.45,100.02
27-11-2025,59737.3,59605.3,59866.6,59523,137.81
26-11-2025,59528.05,58783.05,59554.95,58783.05,140.18
25-11-2025,58820.3,58925.65,59166.15,58746.2,137.38
24-11-2025,58835.35,58996.9,59309.9,58649.5,190.39
21-11-2025,58867.7,59116.7,59232.15,58823.65,121.38
20-11-2025,59347.7,59308.2,59440.1,59125.25,120.02
19-11-2025,59216.05,58908.15,59264.25,58688.55,149.83
18-11-2025,58899.25,58990.5,59103.65,58798.9,145.54
17-11-2025,58962.7,58696.3,59001.55,58605.3,157.46
14-11-2025,58517.55,58050,58590.15,58050,114.81
13-11-2025,58381.95,58158.75,58615.95,58127.1,121.24
12-11-2025,58274.65,58505.35,58507.7,58171.85,149.27
11-11-2025,58138.15,57962.3,58187.35,57594.25,119.59
10-11-2025,57937.55,57846.2,58097.2,57846.2,123.39
07-11-2025,57876.8,57391.4,58001.35,57157.85,142.42
06-11-2025,57554.25,57714.8,57945.05,57521,170.43
04-11-2025,57827.05,57966.65,58119.65,57732.95,168.56
03-11-2025,58101.45,57726.85,58247.55,57718.4,27.83
31-10-2025,57776.35,57942.45,58254.95,57656.95,307.92
30-10-2025,58031.1,58152.05,58331.2,57999.2,222.99
29-10-2025,58385.25,58316.25,58469.9,58087.05,151.85
28-10-2025,58214.1,58006.55,58313.8,57770.35,256.08
27-10-2025,58114.25,57796.45,58224.55,57652.75,153.03
24-10-2025,57699.6,58172.75,58232.9,57482.05,132.08
23-10-2025,58078.05,58314.55,58577.5,57951.45,291.56
21-10-2025,58007.2,58063.4,58155.55,57887.2,38.97
20-10-2025,58033.2,57872.85,58261.55,57872.85,341.72
17-10-2025,57713.35,57362.9,57830.2,57238.65,147.16
16-10-2025,57422.55,57139.95,57525.8,56994.7,148.6
15-10-2025,56799.9,56528.95,56922.7,56491.85,123.7
14-10-2025,56496.45,56598.65,56721.3,56230.15,129.85
13-10-2025,56625,56337.05,56770.9,56327.4,123.49
10-10-2025,56609.75,56168.6,56760.25,56152.45,162.95
09-10-2025,56192.05,55979,56286.25,55843.9,118.03
08-10-2025,56018.25,56098.5,56303.6,55821,133.59
07-10-2025,56239.35,56126.4,56502.45,56025.05,153.74
06-10-2025,56104.85,55834.7,56164.2,55727.25,162.64
03-10-2025,55589.25,55182.6,55616.45,55177,156.86
01-10-2025,55347.95,54653.9,55406.75,54582.55,172.99
30-09-2025,54635.85,54705.5,54793.05,54502.95,206.88
29-09-2025,54461,54460.4,54686.05,54226.6,218.34
26-09-2025,54389.35,54797.9,54897,54310.95,127.69
25-09-2025,54976.2,55061.65,55276.65,54903.3,158.42
24-09-2025,55121.5,55387.1,55511.1,55040.45,171.98
23-09-2025,55509.75,55248.7,55662,55159,171.2
22-09-2025,55284.75,55429.3,55666.35,55215.6,118.64
19-09-2025,55458.85,55647.95,55688.75,55355.3,190
18-09-2025,55727.45,55797.1,55835.25,55490.9,134.32
17-09-2025,55493.3,55158.35,55540.75,55146.55,155.33
16-09-2025,55147.6,54778.4,55185.45,54777.75,98.66
15-09-2025,54887.85,54884.05,55018.7,54807.5,72.02
12-09-2025,54809.3,54781.55,54852.25,54580.35,80.12
11-09-2025,54669.6,54413.05,54757.45,54402.4,96.85
10-09-2025,54536,54554.75,54705.2,54400,116.93
09-09-2025,54216.1,54330.55,54350.65,54079.45,93.76
08-09-2025,54186.9,54215.4,54518.7,54067.15,76.26
05-09-2025,54114.55,54308.05,54308.05,53719.55,79.91
04-09-2025,54075.45,54379.6,54450.55,53971.85,120.03
03-09-2025,54067.55,53630.75,54136.15,53561.75,100.09
02-09-2025,53661,54038.25,54160.95,53578,77.54
01-09-2025,54002.45,53658.15,54035.85,53658.15,78.04
29-08-2025,53655.65,53660.35,54086,53606.45,103.89
28-08-2025,53820.35,54256,54382.25,53768.45,134.33
26-08-2025,54450.45,54999.05,55068.9,54396.1,123.81
25-08-2025,55139.3,55147.75,55306,55048.4,79.87
22-08-2025,55149.4,55669.25,55745,55102.6,77.14
21-08-2025,55755.45,55972.05,55993.65,55708.2,70.34
20-08-2025,55698.5,55751.5,55812.6,55577.35,69.08
19-08-2025,55865.15,55622.3,55965.55,55608.15,89.33
18-08-2025,55734.9,55940.6,56156.3,55647.65,101.72
14-08-2025,55341.85,55102.55,55472.8,55074.3,74.19
13-08-2025,55181.45,55340.05,55340.05,55026.95,80.07
12-08-2025,55043.7,55441.1,55566.7,55001.5,74.65
11-08-2025,55510.75,54999.35,55582.15,54927.55,105.18
08-08-2025,55004.9,55609.35,55652.6,54905.6,97.28
07-08-2025,55521.15,55215.65,55614.8,54973.55,95.47
06-08-2025,55411.15,55329.8,55559.4,55227.7,117.6
05-08-2025,55360.25,55545.05,55648.15,55202.85,105.72
04-08-2025,55619.35,55557.5,55752.45,55437.3,131.11
01-08-2025,55617.6,55897.15,56097.6,55562.1,98.89
31-07-2025,55961.95,55728.15,56406.2,55547.35,182.79
30-07-2025,56150.7,56310.1,56321.15,56064.55,139.65
29-07-2025,56222,55881.8,56296.4,55843.25,145.11
28-07-2025,56084.9,56215.1,56578.4,55997.45,145.69
25-07-2025,56528.9,57170.7,57170.7,56439.4,125.07
24-07-2025,57066.05,57316.6,57316.6,56850.9,179.81
23-07-2025,57210.45,56918.15,57249,56715.8,129.78
