trade_id,entry_price,exit_price,direction,probability,raw_pnl,net_pnl,raw_return,net_return,won,hour,year,month,day_of_week
1,43352.1,43312.7,LONG,0.6597287356853486,-1379.000000000051,-2289.394100000051,-0.0009088371728244181,-0.001508837172824418,False,0,2023,5,1
2,43312.7,43685.45,LONG,0.5529077589511872,13046.25,12136.6833,0.008606020866858913,0.008006020866858914,True,0,2023,5,2
3,43685.45,42661.2,LONG,0.49676894545555117,-35848.75,-36766.14445,-0.023446021501438125,-0.024046021501438124,False,0,2023,5,3
4,42661.2,43284.0,LONG,0.5995298385620117,21798.000000000102,20902.1148000001,0.014598745464262678,0.013998745464262679,True,0,2023,5,4
5,43284.0,43198.15,LONG,0.47960644364356997,-3004.749999999949,-3913.713999999949,-0.0019834118842990147,-0.0025834118842990145,False,0,2023,5,0
6,43198.15,43331.05,LONG,0.584674084186554,4651.500000000051,3744.338850000051,0.0030765206380366163,0.0024765206380366164,True,0,2023,5,1
7,43331.05,43475.3,LONG,0.6394817113876343,5048.75,4138.79795,0.003329021567674912,0.002729021567674912,True,0,2023,5,2
8,43475.3,43793.55,LONG,0.5045195043087005,11138.75,10225.7687,0.007320248508923457,0.006720248508923457,True,0,2023,5,3
9,43793.55,44072.1,LONG,0.567795991897583,9749.249999999847,8829.585449999848,0.006360525693852077,0.005760525693852077,True,0,2023,5,4
10,44072.1,43903.7,LONG,0.5610163807868958,-5894.000000000051,-6819.514100000051,-0.003821011478917534,-0.004421011478917534,False,0,2023,5,0
11,43903.7,43698.7,LONG,0.7734151721000672,-7175.0,-8096.9776999999995,-0.004669310331475479,-0.005269310331475479,False,0,2023,5,1
12,43698.7,43752.3,LONG,0.43837195038795473,1876.0000000002037,958.3273000002039,0.0012265811111087017,0.0006265811111087017,True,0,2023,5,2
13,43752.3,43969.4,LONG,0.6234971404075623,7598.499999999949,6679.701699999949,0.004962024853550523,0.004362024853550523,True,0,2023,5,3
14,43969.4,43885.1,LONG,0.5384144186973572,-2950.500000000102,-3873.8574000001017,-0.0019172424458828846,-0.0025172424458828847,False,0,2023,5,4
15,43885.1,43954.45,LONG,0.5846768915653229,2427.249999999949,1505.6628999999493,0.001580263004983435,0.000980263004983435,True,0,2023,5,0
16,43954.45,43677.85,LONG,0.6010879516601563,-9680.999999999949,-10604.043449999948,-0.006292878195495531,-0.006892878195495531,False,0,2023,5,1
