rank,feature,importance
1,returns,0.0
2,volatility,0.0
3,rsi_14,0.0
4,rsi_21,0.0
5,macd,0.0
6,macd_signal,0.0
7,macd_hist,0.0
8,stoch_k,0.0
9,stoch_d,0.0
10,adx_14,0.0
11,momentum_10,0.0
12,ema_9,0.0
13,ema_21,0.0
14,ema_50,0.0
15,ema_200,0.0
16,sma_20,0.0
17,sma_50,0.0
18,supertrend_10_3,0.0
19,supertrend_7_2,0.0
20,bb_upper,0.0
21,bb_middle,0.0
22,bb_lower,0.0
23,bb_width,0.0
24,psar,0.0
25,volume_sma_20,0.0
26,volume_roc_10,0.0
27,obv,0.0
28,vwap,0.0
29,mfi_14,0.0
30,atr_14,0.0
31,hist_vol_20,0.0
32,bb_width_pct,0.0
33,day_sin,0.0
34,day_cos,0.0
35,week_of_month,0.0
36,month_sin,0.0
37,month_cos,0.0
38,days_to_monthly_expiry,0.0
39,is_monthly_expiry,0.0
40,has_weekly_expiry,0.0
41,days_to_weekly_expiry,0.0
42,is_weekly_expiry,0.0
43,is_expiry_day,0.0
44,days_to_expiry,0.0
45,is_expiry_week,0.0
46,is_bullish_engulf,0.0
47,is_bearish_engulf,0.0
48,is_doji,0.0
49,is_hammer,0.0
50,is_shooting_star,0.0
51,is_inside_bar,0.0
52,return_1,0.0
53,return_5,0.0
54,return_15,0.0
55,return_30,0.0
56,return_60,0.0
57,range_pct,0.0
58,close_position,0.0
59,gap_at_open,0.0
60,body_to_range,0.0
61,volume_price_trend,0.0
62,price_volume_correlation,0.0
63,volume_imbalance,0.0
64,price_impact,0.0
65,volatility_regime,0.0
66,volume_trend,0.0
67,tick_direction,0.0
68,volume,-0.009822866344605408
69,high,-0.01175523349436387
70,low,-0.012560386473429896
71,close,-0.012560386473429896
72,open,-0.01481481481481477
