rank,feature,importance
1,ema_9,0.01674718196457329
2,ema_21,0.01272141706924318
3,bb_upper,0.011272141706924343
4,ema_50,0.010144927536231908
5,bb_middle,0.009983896940418712
6,psar,0.006602254428341403
7,sma_20,0.006119162640901799
8,low,0.005958132045088571
9,open,0.0056360708534621716
10,sma_50,0.005152979066022556
11,ema_bearish_alignment,0.004669887278582951
12,volume_trend,0.0037037037037037203
13,return_60,0.0030595813204508993
14,is_hammer,0.0025764895330112835
15,supertrend_7_2,0.0024154589371980784
16,vwap,0.002093397745571668
17,high,0.0019323671497584848
18,close,0.0016103059581320522
19,high_volume_up,0.0016103059581320522
20,macd_bullish_cross,0.0012882447665056417
21,days_to_weekly_expiry,0.0009661835748792314
22,range_pct,0.0009661835748792314
23,bb_lower,0.0008051529790660261
24,return_30,0.0008051529790660261
25,macd,0.0006441223832528209
26,rsi_overbought,0.0006441223832528209
27,is_inside_bar,0.0006441223832528209
28,price_impact,0.0006441223832528209
29,volume_spike,0.0004830917874396157
30,is_bearish_engulf,0.0004830917874396157
31,ema_bullish_alignment,0.00032206119162641044
32,close_position,0.00032206119162641044
33,volume_imbalance,0.00032206119162641044
34,rsi_momentum_entry,0.00016103059581320522
35,is_bullish_engulf,0.00016103059581320522
36,is_shooting_star,0.00016103059581320522
37,returns,0.0
38,volatility,0.0
39,breakout_down,0.0
40,is_monthly_expiry,0.0
41,is_doji,0.0
42,tick_direction,0.0
43,stoch_d,-0.00016103059581320522
44,adx_14,-0.00032206119162641044
45,bb_width_pct,-0.00032206119162641044
46,stoch_k,-0.0004830917874396157
47,momentum_10,-0.0004830917874396157
48,rsi_bearish_divergence,-0.0004830917874396157
49,volume_price_trend,-0.0004830917874396157
50,macd_hist,-0.0006441223832528209
51,bb_width,-0.0006441223832528209
52,macd_bearish_cross,-0.0006441223832528209
53,rsi_oversold,-0.0006441223832528209
54,volatility_regime,-0.0008051529790660261
55,rsi_21,-0.0009661835748792314
56,macd_signal,-0.0011272141706924366
57,volume_roc_10,-0.0011272141706924366
58,mfi_14,-0.0011272141706924366
59,month_cos,-0.0011272141706924366
60,days_to_monthly_expiry,-0.0011272141706924366
61,return_1,-0.0011272141706924366
62,rsi_bullish_divergence,-0.0012882447665056417
63,is_weekly_expiry,-0.0016103059581320522
64,return_5,-0.0017713365539452574
65,gap_at_open,-0.0017713365539452574
66,breakout_up,-0.0019323671497584627
67,month_sin,-0.0019323671497584627
68,is_expiry_week,-0.0019323671497584627
69,day_sin,-0.002093397745571668
70,rsi_14,-0.0022544283413848732
71,is_expiry_day,-0.0022544283413848732
72,body_to_range,-0.0022544283413848732
73,week_of_month,-0.0024154589371980784
74,volume_sma_20,-0.0027375201288244886
75,day_cos,-0.0027375201288244886
76,ema_200,-0.002898550724637683
77,return_15,-0.0030595813204508993
78,price_volume_correlation,-0.0030595813204508993
79,bullish_signal_count,-0.0037037037037037203
80,momentum_score,-0.004025764895330131
81,days_to_expiry,-0.004025764895330131
82,supertrend_10_3,-0.004186795491143325
83,hist_vol_20,-0.004186795491143336
84,atr_14,-0.004347826086956541
85,has_weekly_expiry,-0.0045088566827697464
86,obv,-0.006441223832528198
87,volume,-0.006763285024154586
