number,value,state,hidden_dim,num_layers,dropout,learning_rate,batch_size
0,0.6473429951690821,COMPLETE,128,1,0.3,0.0005,32
1,0.6602254428341385,COMPLETE,128,2,0.5,0.001,64
2,0.6811594202898551,COMPLETE,256,1,0.2,0.0005,32
3,0.6811594202898551,COMPLETE,256,2,0.3,0.001,64
4,0.6811594202898551,COMPLETE,128,3,0.5,0.001,64
5,0.6682769726247987,COMPLETE,64,3,0.4,0.001,64
6,0.6811594202898551,COMPLETE,64,3,0.4,0.0005,64
7,0.3397745571658615,PRUNED,64,1,0.5,0.0001,128
8,0.677938808373591,COMPLETE,128,3,0.2,0.0005,64
9,0.5185185185185185,PRUNED,256,1,0.2,0.0001,32
10,0.6811594202898551,COMPLETE,256,1,0.2,0.0005,32
11,0.6392914653784219,COMPLETE,256,2,0.3,0.001,128
12,0.6811594202898551,COMPLETE,256,2,0.3,0.001,32
13,0.38808373590982287,PRUNED,256,2,0.2,0.0005,32
14,0.5861513687600645,COMPLETE,256,1,0.3,0.0001,128
15,0.6811594202898551,COMPLETE,256,2,0.2,0.0005,64
16,0.6811594202898551,COMPLETE,256,1,0.3,0.001,32
17,0.6811594202898551,COMPLETE,256,2,0.4,0.001,64
18,0.6811594202898551,COMPLETE,256,2,0.2,0.0005,32
19,0.49597423510466987,PRUNED,64,1,0.3,0.0001,128
20,0.6376811594202898,COMPLETE,256,2,0.3,0.0005,64
21,0.6811594202898551,COMPLETE,128,3,0.5,0.001,64
22,0.6086956521739131,COMPLETE,128,3,0.5,0.001,64
23,0.4524959742351047,PRUNED,128,3,0.5,0.001,64
24,0.6811594202898551,COMPLETE,128,3,0.5,0.001,64
25,0.6859903381642513,COMPLETE,128,3,0.5,0.001,32
26,0.6811594202898551,COMPLETE,256,1,0.2,0.001,32
27,0.6811594202898551,COMPLETE,128,2,0.4,0.001,32
28,0.6811594202898551,COMPLETE,64,1,0.3,0.0001,32
29,0.6811594202898551,COMPLETE,256,3,0.5,0.0005,32
30,0.6827697262479872,COMPLETE,128,1,0.2,0.0005,32
31,0.573268921095008,COMPLETE,128,1,0.2,0.0005,32
32,0.391304347826087,PRUNED,128,1,0.2,0.0005,32
33,0.6199677938808373,COMPLETE,128,1,0.2,0.0005,32
34,0.6763285024154589,COMPLETE,128,1,0.2,0.0005,32
